monthly_income,income_variability,income_regularity,income_sources,monthly_transaction_count,average_transaction_value,transaction_consistency,digital_payment_ratio,electricity_payment_consistency,mobile_payment_consistency,rent_payment_consistency,average_payment_delay,on_time_payment_ratio,monthly_savings,savings_ratio,upi_activity_months,digital_activity_months,transaction_history_months,age_group,gender,income_group,occupation_category,repayment_probability,repayment_outcome
39818.48,0.4732,0.7462,1,57,311.42,0.6688,0.8548,0.6052,0.5982,0.5111,17.09,0.5715,7488.68,0.1881,26,36,26,25-34,Female,Middle Income (30k-80k),Salaried Entry-level,0.8863,1
34124.28,0.3374,0.6186,2,52,167.87,0.7454,0.6964,0.4542,0.3705,0.3545,21.71,0.393,6449.01,0.189,26,43,23,<25,Male,Middle Income (30k-80k),Gig Worker / Delivery,0.8264,1
47046.98,0.5126,0.4881,2,70,150.0,0.5837,0.6054,0.5701,0.6072,0.5672,17.94,0.5815,9418.47,0.2002,19,24,16,25-34,Female,Middle Income (30k-80k),Freelancer / Creator,0.7164,1
12000.0,0.0979,0.9416,1,45,150.0,0.925,0.6981,0.7505,0.6717,0.6243,14.35,0.6822,2980.74,0.2484,21,34,16,35-49,Female,Low Income (<30k),Student / First-time Earner,0.9541,1
23277.85,0.5088,0.5212,1,54,268.44,0.5069,0.8514,0.4255,0.4723,0.4664,20.57,0.4547,5794.26,0.2489,27,32,26,25-34,Male,Low Income (<30k),Gig Worker / Delivery,0.7205,1
28472.56,0.828,0.3491,3,52,150.0,0.5798,0.944,0.6722,0.6464,0.6012,13.14,0.6399,7386.8,0.2594,10,19,10,25-34,Male,Low Income (<30k),Gig Worker / Delivery,0.8261,1
14298.88,0.8288,0.4756,1,52,404.54,0.2931,0.8438,0.5398,0.4531,0.5541,17.08,0.5157,781.01,0.0546,37,50,33,25-34,Male,Low Income (<30k),Gig Worker / Delivery,0.3863,0
31537.59,0.3518,0.7163,1,53,167.73,0.8377,0.7649,0.6467,0.634,0.5335,15.5,0.6047,5667.2,0.1797,21,28,19,<25,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.7895,1
119144.41,0.5427,0.5494,1,84,587.04,0.5824,0.8603,0.4547,0.3772,0.4888,20.43,0.4402,22230.34,0.1866,15,28,11,25-34,Female,Upper Middle (>80k),Freelancer / Creator,0.5451,0
31112.88,0.4248,0.7852,1,53,328.48,0.5483,0.8631,0.6866,0.6426,0.7242,16.36,0.6845,10557.26,0.3393,13,22,8,25-34,Female,Middle Income (30k-80k),Gig Worker / Delivery,0.9035,1
98065.24,0.5105,0.5299,1,81,395.81,0.8394,0.8763,0.739,0.7724,0.7696,10.69,0.7603,27966.21,0.2852,17,20,14,50+,Female,Upper Middle (>80k),Informal MSME / Shopkeeper,0.8669,1
34887.9,0.4859,0.4447,4,59,339.67,0.2912,0.676,0.4282,0.4139,0.4102,21.46,0.4174,5211.38,0.1494,34,50,29,35-49,Female,Middle Income (30k-80k),Gig Worker / Delivery,0.5419,0
63423.74,0.3217,0.6809,2,59,428.89,0.3286,0.9846,0.487,0.4323,0.4382,21.87,0.4525,5471.1,0.0863,33,38,31,<25,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.8677,1
47875.94,0.7378,0.3583,1,65,246.76,0.7253,0.6882,0.5268,0.5559,0.5747,15.67,0.5525,10041.58,0.2097,12,20,8,35-49,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.5657,1
58194.51,0.4661,0.5014,1,56,479.67,0.4321,0.7819,0.463,0.4676,0.5482,19.56,0.4929,10700.08,0.1839,27,33,25,35-49,Female,Middle Income (30k-80k),Freelancer / Creator,0.576,1
41563.98,0.4287,0.4928,1,52,231.77,0.6973,0.931,0.6484,0.6509,0.6543,13.98,0.6512,10960.99,0.2637,42,44,40,35-49,Female,Middle Income (30k-80k),Gig Worker / Delivery,0.9452,0
75373.84,0.8272,0.4169,1,68,422.52,0.5371,0.818,0.4314,0.4058,0.4318,20.53,0.423,13929.03,0.1848,52,65,47,25-34,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.4484,1
52842.16,0.2072,0.9087,1,76,407.86,0.5286,0.7317,0.5556,0.5695,0.6171,14.9,0.5807,8941.94,0.1692,44,46,41,25-34,Male,Middle Income (30k-80k),Freelancer / Creator,0.9089,1
45362.63,0.5509,0.5572,3,56,377.59,0.505,0.4482,0.2797,0.2957,0.292,28.74,0.2891,1549.18,0.0342,16,21,13,25-34,Male,Middle Income (30k-80k),Freelancer / Creator,0.2308,0
66126.8,0.433,0.6304,1,70,505.89,0.5757,0.8351,0.6661,0.6995,0.6188,19.94,0.6615,15488.37,0.2342,31,35,26,<25,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.7935,1
43790.97,0.5217,0.7024,1,67,473.39,0.6104,0.7828,0.5575,0.5445,0.6345,15.54,0.5788,11803.47,0.2695,27,41,27,<25,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.9018,1
31242.74,0.7382,0.3059,2,57,300.44,0.2892,0.8704,0.3607,0.3093,0.2864,29.3,0.3188,2684.17,0.0859,20,24,18,<25,Male,Middle Income (30k-80k),Gig Worker / Delivery,0.1234,0
21820.68,0.6244,0.5081,2,57,396.74,0.4714,0.6442,0.3815,0.3735,0.3794,25.01,0.3782,1391.75,0.0638,68,78,60,25-34,Male,Low Income (<30k),Gig Worker / Delivery,0.4004,0
24193.12,0.6546,0.4141,2,58,436.52,0.5534,0.63,0.4504,0.4991,0.4382,23.48,0.4626,1386.44,0.0573,24,34,19,35-49,Male,Low Income (<30k),Gig Worker / Delivery,0.2414,0
35915.27,0.3752,0.7142,2,61,475.17,0.5498,0.9236,0.5245,0.508,0.5389,17.09,0.5238,6925.52,0.1928,35,46,32,25-34,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.8684,1
45437.58,0.4663,0.4662,1,64,150.0,0.7428,0.8884,0.479,0.4951,0.4522,18.38,0.4754,11302.1,0.2487,50,61,48,<25,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.7935,1
31593.14,0.3728,0.7277,3,44,441.11,0.7596,0.494,0.5693,0.5682,0.5808,15.49,0.5727,8060.92,0.2551,19,34,18,50+,Male,Middle Income (30k-80k),Salaried Entry-level,0.9095,0
72560.09,0.1254,0.9012,1,67,510.29,0.7688,0.8578,0.5154,0.5237,0.5164,18.78,0.5185,19149.97,0.2639,27,35,27,50+,Male,Middle Income (30k-80k),Salaried Entry-level,0.9072,1
29346.44,0.224,0.766,1,39,228.24,0.761,0.9207,0.5964,0.6294,0.5475,14.95,0.5911,8264.82,0.2816,26,30,24,35-49,Male,Low Income (<30k),Salaried Entry-level,0.9335,0
58289.42,0.3177,0.7457,3,64,428.91,0.1441,0.717,0.6258,0.7005,0.6786,12.87,0.6683,11228.24,0.1926,22,36,21,50+,Male,Middle Income (30k-80k),Freelancer / Creator,0.9011,1
32013.18,0.3381,0.7482,1,53,406.48,0.5642,0.8239,0.6786,0.6763,0.6774,12.65,0.6774,9480.26,0.2961,20,29,16,25-34,Male,Middle Income (30k-80k),Freelancer / Creator,0.9437,1
40799.03,0.5328,0.4388,1,56,150.0,0.7356,0.5593,0.3136,0.3767,0.305,27.15,0.3318,8530.91,0.2091,38,53,37,50+,Female,Middle Income (30k-80k),Salaried Entry-level,0.6553,1
29347.85,0.4777,0.6156,1,52,150.0,0.2665,0.6013,0.381,0.4519,0.3891,22.31,0.4074,2673.3,0.0911,30,45,27,<25,Female,Low Income (<30k),Gig Worker / Delivery,0.5795,1
21311.53,0.7742,0.3653,1,53,150.0,0.657,0.9217,0.4437,0.4241,0.384,23.63,0.4173,3364.98,0.1579,39,45,38,25-34,Female,Low Income (<30k),Freelancer / Creator,0.3088,0
17688.85,0.3516,0.7016,2,61,290.65,0.5556,0.8214,0.5337,0.509,0.4917,20.67,0.5115,4438.67,0.2509,19,30,14,<25,Female,Low Income (<30k),Gig Worker / Delivery,0.8575,1
12000.0,0.3461,0.6854,1,48,150.0,0.4416,0.8552,0.5825,0.6472,0.5361,16.67,0.5886,2944.2,0.2453,14,20,14,<25,Male,Low Income (<30k),Student / First-time Earner,0.8443,1
27270.03,0.4382,0.6162,1,56,237.42,0.5839,0.927,0.6239,0.625,0.6017,13.43,0.6169,6278.43,0.2302,22,27,17,<25,Male,Low Income (<30k),Freelancer / Creator,0.8478,1
27590.47,0.3533,0.8385,4,56,151.83,0.4267,0.8136,0.7,0.7148,0.6699,11.2,0.6949,9043.11,0.3278,10,22,9,25-34,Female,Low Income (<30k),Gig Worker / Delivery,0.9493,1
59696.7,0.2146,0.7259,2,68,171.71,0.6986,0.4977,0.5908,0.5082,0.4888,18.4,0.5293,13585.47,0.2276,22,26,18,35-49,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.8712,1
19556.8,0.7707,0.3828,1,67,150.0,0.5352,0.2822,0.3539,0.317,0.3147,24.2,0.3285,1078.4,0.0551,15,20,10,25-34,Non-Binary/Other,Low Income (<30k),Gig Worker / Delivery,0.2098,0
13953.27,0.1974,0.739,2,47,207.47,0.5478,0.6992,0.5886,0.5898,0.4995,22.5,0.5593,3267.0,0.2341,42,56,39,<25,Female,Low Income (<30k),Student / First-time Earner,0.8668,1
40504.35,0.3915,0.639,2,61,150.0,0.818,0.8667,0.4629,0.5101,0.5447,17.5,0.5059,9258.94,0.2286,17,23,15,35-49,Female,Middle Income (30k-80k),Freelancer / Creator,0.805,1
52062.99,0.228,0.7867,1,62,498.76,0.8961,0.7536,0.6958,0.7,0.7499,12.04,0.7153,12968.97,0.2491,12,19,7,25-34,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.9508,1
36945.88,0.4694,0.7261,1,52,377.78,0.2586,0.5816,0.533,0.5142,0.504,18.74,0.5171,8009.37,0.2168,13,20,9,25-34,Male,Middle Income (30k-80k),Freelancer / Creator,0.6117,0
47604.37,0.4578,0.6819,1,57,348.15,0.6479,0.9119,0.5277,0.5171,0.5817,16.1,0.5421,10791.02,0.2267,28,30,25,35-49,Female,Middle Income (30k-80k),Salaried Entry-level,0.8479,0
23676.19,0.2031,0.8952,1,43,440.21,0.4648,0.6027,0.5582,0.547,0.5962,19.59,0.5671,6510.16,0.275,8,13,6,25-34,Male,Low Income (<30k),Student / First-time Earner,0.8077,1
52628.71,0.3368,0.7437,1,62,391.09,0.4173,0.9093,0.6338,0.6819,0.7065,11.92,0.674,14077.16,0.2675,46,50,41,25-34,Female,Middle Income (30k-80k),Salaried Entry-level,0.9596,1
65361.38,0.2458,0.8881,2,58,426.18,0.6026,0.9345,0.6939,0.7167,0.6073,14.71,0.6726,18382.14,0.2812,22,30,21,50+,Female,Middle Income (30k-80k),Salaried Entry-level,0.9385,1
17661.68,0.5125,0.5584,3,58,236.48,0.6504,0.8367,0.666,0.6646,0.695,16.16,0.6752,2959.45,0.1676,15,27,13,25-34,Female,Low Income (<30k),Gig Worker / Delivery,0.8807,1
12000.0,0.37,0.5313,1,47,164.08,0.6405,0.6335,0.5067,0.5566,0.4643,17.29,0.5092,2507.94,0.209,30,44,28,25-34,Male,Low Income (<30k),Student / First-time Earner,0.8329,1
67920.58,0.6917,0.49,3,55,454.97,0.7887,0.951,0.4538,0.4439,0.4059,23.73,0.4346,14295.59,0.2105,13,30,10,35-49,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.6404,1
68043.53,0.4434,0.5046,3,65,393.84,0.4706,0.9217,0.542,0.5183,0.4841,18.98,0.5148,13809.64,0.203,12,29,7,35-49,Female,Middle Income (30k-80k),Salaried Entry-level,0.8155,1
70275.34,0.3059,0.8088,1,68,608.96,0.2651,0.611,0.5608,0.5001,0.4962,20.18,0.519,9694.26,0.1379,24,35,21,<25,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.7962,0
19774.19,0.445,0.7751,3,47,150.0,0.6482,0.6457,0.627,0.6123,0.6739,14.72,0.6377,5091.51,0.2575,11,27,9,<25,Male,Low Income (<30k),Gig Worker / Delivery,0.9061,1
45530.47,0.3117,0.8483,1,60,206.2,0.6525,0.47,0.5587,0.5644,0.654,15.69,0.5924,12376.01,0.2718,6,13,1,<25,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.8928,0
29733.25,0.262,0.8354,2,51,294.46,0.4691,0.8246,0.6659,0.6994,0.7169,10.98,0.694,6011.35,0.2022,2,4,1,25-34,Female,Low Income (<30k),Gig Worker / Delivery,0.928,1
50723.07,0.3068,0.8325,1,66,521.78,0.6641,0.8621,0.7141,0.6774,0.7086,16.34,0.7,12705.27,0.2505,24,39,22,25-34,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.9028,1
34219.55,0.5276,0.527,2,47,328.75,0.6176,0.7531,0.5659,0.5281,0.5923,17.41,0.5621,6795.74,0.1986,15,22,13,<25,Female,Middle Income (30k-80k),Freelancer / Creator,0.8197,1
24659.65,0.6088,0.533,2,56,405.7,0.5826,0.8804,0.5469,0.5839,0.6045,16.54,0.5784,7812.74,0.3168,22,37,18,50+,Female,Low Income (<30k),Gig Worker / Delivery,0.7863,1
13292.4,0.2823,0.6361,1,52,177.54,0.7182,0.668,0.5073,0.4934,0.5865,18.2,0.5291,2406.02,0.181,14,24,13,25-34,Female,Low Income (<30k),Student / First-time Earner,0.8585,0
12000.0,0.5247,0.4526,2,48,150.0,0.6673,0.6937,0.6528,0.652,0.702,15.69,0.6689,2334.68,0.1946,8,24,3,<25,Male,Low Income (<30k),Student / First-time Earner,0.8134,1
18855.84,0.3388,0.7051,1,56,275.68,0.8563,0.8445,0.4928,0.4399,0.4667,20.65,0.4665,3531.89,0.1873,13,27,9,25-34,Female,Low Income (<30k),Student / First-time Earner,0.8725,0
34411.11,0.1626,0.8405,2,47,660.53,0.434,0.794,0.6799,0.727,0.6,15.33,0.669,9512.31,0.2764,4,11,3,35-49,Male,Middle Income (30k-80k),Salaried Entry-level,0.9453,0
52626.21,0.2838,0.8455,1,55,291.85,0.6985,0.9613,0.6948,0.6787,0.7412,11.69,0.7049,16615.28,0.3157,16,28,16,<25,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.9543,1
81962.83,0.6071,0.4914,1,67,515.48,0.7164,0.6379,0.6148,0.6366,0.6917,13.07,0.6477,14376.4,0.1754,49,58,44,25-34,Male,Upper Middle (>80k),Informal MSME / Shopkeeper,0.7419,0
25913.01,0.3887,0.7036,1,42,567.96,0.4577,0.637,0.5897,0.683,0.6692,12.63,0.6473,6164.23,0.2379,32,37,29,35-49,Female,Low Income (<30k),Gig Worker / Delivery,0.7912,1
18828.47,0.6893,0.378,3,44,198.69,0.2306,0.8285,0.401,0.3447,0.3254,30.04,0.357,2131.74,0.1132,30,36,29,25-34,Female,Low Income (<30k),Student / First-time Earner,0.1516,1
12000.0,0.4251,0.582,2,53,180.17,0.5747,0.6421,0.5296,0.5352,0.4772,18.99,0.514,2336.97,0.1947,22,31,20,25-34,Non-Binary/Other,Low Income (<30k),Student / First-time Earner,0.6354,1
46701.64,0.69,0.4448,1,59,651.25,0.6029,0.8683,0.5145,0.4799,0.5151,18.34,0.5032,9095.98,0.1948,5,14,5,25-34,Male,Middle Income (30k-80k),Salaried Entry-level,0.5289,0
17921.62,0.267,0.6616,1,59,150.0,0.6999,0.8205,0.6044,0.57,0.5629,21.81,0.5791,2767.32,0.1544,15,24,15,<25,Male,Low Income (<30k),Student / First-time Earner,0.8501,0
38872.91,0.3856,0.5735,1,51,441.9,0.8557,0.6471,0.7064,0.703,0.6482,13.54,0.6859,11560.75,0.2974,11,15,8,<25,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.8171,1
45239.85,0.5411,0.5467,1,58,348.48,0.3373,0.7659,0.4809,0.3853,0.4843,32.58,0.4502,7993.94,0.1767,11,26,6,25-34,Female,Middle Income (30k-80k),Freelancer / Creator,0.3348,0
12642.43,0.5318,0.3412,1,40,150.0,0.5902,0.8722,0.4345,0.4206,0.4405,23.23,0.4319,1370.74,0.1084,24,27,20,<25,Male,Low Income (<30k),Student / First-time Earner,0.4212,0
53870.47,0.4432,0.6095,1,60,302.89,0.5624,0.7495,0.5251,0.5249,0.501,21.05,0.517,7858.8,0.1459,18,24,18,<25,Female,Middle Income (30k-80k),Freelancer / Creator,0.7154,0
65507.55,0.6581,0.4117,1,65,625.07,0.596,0.9197,0.4158,0.4003,0.5137,19.72,0.4433,8589.71,0.1311,4,7,1,35-49,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.3416,1
32531.27,0.4173,0.6139,1,56,197.59,0.7108,0.6438,0.6125,0.546,0.638,17.4,0.5988,7114.7,0.2187,47,51,44,50+,Male,Middle Income (30k-80k),Freelancer / Creator,0.896,1
52890.45,0.3738,0.6418,1,64,443.42,0.7971,0.9462,0.6578,0.7005,0.6402,13.51,0.6662,10748.32,0.2032,33,46,31,35-49,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.8939,0
70049.78,0.2617,0.8961,3,62,464.06,0.6532,0.7004,0.3329,0.362,0.3474,23.42,0.3474,9474.25,0.1353,21,38,17,35-49,Female,Middle Income (30k-80k),Salaried Entry-level,0.6975,1
82582.31,0.4272,0.6429,1,73,341.32,0.5977,0.76,0.5111,0.481,0.5085,17.62,0.5002,9768.94,0.1183,24,30,20,<25,Female,Upper Middle (>80k),Informal MSME / Shopkeeper,0.7838,1
74424.28,0.4058,0.7315,1,80,387.78,0.8107,0.6741,0.5458,0.5309,0.4779,16.99,0.5182,16205.22,0.2177,14,24,13,50+,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.8568,1
44947.44,0.3025,0.7475,3,54,629.49,0.5905,0.8596,0.5631,0.6131,0.5373,25.45,0.5712,14330.88,0.3188,25,42,25,<25,Male,Middle Income (30k-80k),Freelancer / Creator,0.8963,1
126947.94,0.7781,0.2588,2,83,615.25,0.1,0.6321,0.357,0.3546,0.2948,25.8,0.3355,19326.67,0.1522,11,23,11,50+,Female,Upper Middle (>80k),Informal MSME / Shopkeeper,0.0318,0
19157.22,0.1813,0.7659,2,42,168.29,0.6246,0.7365,0.5494,0.4751,0.5295,24.57,0.518,5399.2,0.2818,27,44,25,50+,Female,Low Income (<30k),Student / First-time Earner,0.9159,1
27206.89,0.532,0.5209,1,54,150.0,0.8067,0.7493,0.5365,0.6009,0.5611,16.6,0.5661,3317.75,0.1219,10,13,6,35-49,Male,Low Income (<30k),Gig Worker / Delivery,0.6652,1
28742.24,0.5573,0.4837,2,63,233.56,0.1,0.8053,0.4923,0.5599,0.4671,18.2,0.5065,6948.91,0.2418,18,24,15,50+,Male,Low Income (<30k),Gig Worker / Delivery,0.7091,1
23443.42,0.4202,0.7958,2,52,284.26,0.7993,0.9362,0.5566,0.5709,0.5271,16.3,0.5515,5301.03,0.2261,50,54,45,25-34,Female,Low Income (<30k),Gig Worker / Delivery,0.9278,1
15331.73,0.5663,0.5489,1,45,150.0,0.7248,0.7578,0.6113,0.6203,0.6327,15.54,0.6214,4031.77,0.263,24,41,21,25-34,Male,Low Income (<30k),Student / First-time Earner,0.9245,1
68681.15,0.3514,0.7859,1,59,407.25,0.5802,0.8195,0.6849,0.6189,0.7082,12.46,0.6707,21564.83,0.314,10,25,9,25-34,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.9338,1
17084.26,0.3141,0.8551,4,51,150.0,0.8312,0.7774,0.6774,0.7067,0.6447,13.08,0.6763,5821.27,0.3407,3,10,1,25-34,Female,Low Income (<30k),Student / First-time Earner,0.9311,1
50398.99,0.3621,0.7132,1,55,425.97,0.4071,0.6333,0.473,0.4639,0.4661,23.19,0.4677,7799.58,0.1548,17,31,14,<25,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.4945,0
25256.41,0.714,0.3186,2,44,150.0,0.5446,0.7635,0.3801,0.3392,0.3579,23.3,0.3591,1772.25,0.0702,33,42,30,25-34,Male,Low Income (<30k),Freelancer / Creator,0.3062,1
43679.14,0.1493,0.8638,1,62,337.77,0.6692,0.7849,0.8022,0.8182,0.8119,8.46,0.8108,16041.2,0.3673,18,22,18,50+,Female,Middle Income (30k-80k),Salaried Entry-level,0.9913,1
33257.58,0.5488,0.6399,3,68,365.4,0.5385,0.7493,0.6,0.5387,0.602,17.62,0.5802,4696.29,0.1412,39,43,38,<25,Male,Middle Income (30k-80k),Gig Worker / Delivery,0.8586,1
31560.16,0.7854,0.2938,3,55,150.0,0.6554,0.5299,0.4017,0.4056,0.4595,20.45,0.4223,5342.83,0.1693,14,28,12,35-49,Non-Binary/Other,Middle Income (30k-80k),Freelancer / Creator,0.3283,0
47057.49,0.6804,0.359,2,55,360.54,0.4534,0.8208,0.3962,0.4811,0.4653,22.93,0.4475,3730.19,0.0793,27,33,26,50+,Male,Middle Income (30k-80k),Freelancer / Creator,0.3413,0
89649.21,0.7398,0.221,2,63,672.51,0.6353,0.469,0.3709,0.3564,0.4131,21.86,0.3801,14434.2,0.161,41,50,37,50+,Female,Upper Middle (>80k),Freelancer / Creator,0.3316,0
28522.15,0.252,0.9762,3,53,150.0,0.7857,0.8996,0.5059,0.5024,0.4301,19.47,0.4795,7171.84,0.2514,50,55,48,50+,Female,Low Income (<30k),Freelancer / Creator,0.9565,1
24707.93,0.6255,0.5153,2,47,150.0,0.615,0.8211,0.4918,0.4826,0.4258,24.04,0.4667,3713.49,0.1503,41,51,40,25-34,Male,Low Income (<30k),Gig Worker / Delivery,0.5569,1
42030.12,0.4214,0.6952,3,53,278.15,0.6644,0.7782,0.4731,0.4461,0.5077,22.19,0.4756,7585.45,0.1805,42,59,39,50+,Male,Middle Income (30k-80k),Gig Worker / Delivery,0.9385,1
52626.33,0.7064,0.3226,1,67,268.83,0.4512,0.6816,0.4642,0.4252,0.3725,23.11,0.4206,9696.21,0.1842,12,28,10,35-49,Female,Middle Income (30k-80k),Freelancer / Creator,0.1739,1
33386.13,0.2999,0.851,1,51,404.22,0.5211,0.99,0.5937,0.5763,0.6235,17.92,0.5978,6759.32,0.2025,10,17,9,<25,Male,Middle Income (30k-80k),Salaried Entry-level,0.8282,1
26846.49,0.6036,0.454,3,49,150.0,0.7679,0.5902,0.5381,0.4575,0.4804,18.45,0.492,4131.41,0.1539,7,17,3,25-34,Female,Low Income (<30k),Gig Worker / Delivery,0.2947,0
71087.21,0.4301,0.6346,4,71,572.91,0.7969,0.9394,0.5587,0.6073,0.5295,16.97,0.5652,13281.45,0.1868,25,37,20,35-49,Female,Middle Income (30k-80k),Freelancer / Creator,0.9354,1
25309.84,0.5703,0.5731,1,43,150.0,0.4449,0.927,0.3067,0.2804,0.2924,25.32,0.2932,3868.31,0.1528,8,12,5,<25,Male,Low Income (<30k),Gig Worker / Delivery,0.3512,0
68805.08,0.2659,0.8083,2,58,602.02,0.593,0.7548,0.7068,0.6512,0.6516,13.07,0.6698,23113.85,0.3359,16,28,14,25-34,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.9307,1
59515.74,0.4594,0.6925,1,63,618.57,0.5893,0.7466,0.6475,0.5541,0.5804,17.47,0.594,20218.33,0.3397,21,35,18,35-49,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.8853,1
44845.45,0.3428,0.7252,1,60,685.19,0.6819,0.7261,0.6273,0.5888,0.5957,16.14,0.6039,12609.09,0.2812,28,42,23,<25,Female,Middle Income (30k-80k),Salaried Entry-level,0.8827,1
50591.53,0.2777,0.7648,2,55,359.05,0.6898,0.7577,0.6186,0.6949,0.6652,12.27,0.6596,12111.82,0.2394,26,29,23,25-34,Male,Middle Income (30k-80k),Salaried Entry-level,0.9656,1
42930.05,0.5053,0.6289,2,56,356.72,0.3187,0.7197,0.4447,0.4511,0.4556,20.64,0.4504,7782.81,0.1813,60,76,56,35-49,Female,Middle Income (30k-80k),Freelancer / Creator,0.6609,1
20264.92,0.4513,0.7761,1,42,150.0,0.6466,0.4743,0.5888,0.5253,0.6062,15.01,0.5734,3544.95,0.1749,15,32,14,25-34,Male,Low Income (<30k),Gig Worker / Delivery,0.6577,1
31017.87,0.2616,0.6804,1,50,301.74,0.6681,0.8532,0.5275,0.5378,0.4965,16.86,0.5206,3957.97,0.1276,44,56,39,<25,Male,Middle Income (30k-80k),Gig Worker / Delivery,0.8539,1
12754.74,0.2326,0.7894,2,45,233.26,0.4181,0.8411,0.6463,0.6349,0.5887,14.8,0.6233,3822.99,0.2997,11,28,7,<25,Male,Low Income (<30k),Student / First-time Earner,0.8942,1
45286.1,0.3477,0.6598,1,53,150.0,0.7314,0.5138,0.5537,0.5291,0.4422,17.66,0.5083,9171.43,0.2025,33,41,32,25-34,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.8747,1
31505.44,0.2164,0.8344,2,63,406.42,0.5678,0.6506,0.6237,0.654,0.5975,17.83,0.6251,6828.11,0.2167,46,59,42,50+,Male,Middle Income (30k-80k),Gig Worker / Delivery,0.9593,1
39466.37,0.3639,0.6308,4,61,283.47,0.2239,0.6721,0.3834,0.4233,0.5005,20.12,0.4358,5986.85,0.1517,18,25,18,<25,Female,Middle Income (30k-80k),Gig Worker / Delivery,0.5764,0
45726.79,0.7566,0.509,3,60,150.0,0.5975,0.6829,0.4109,0.4005,0.4336,21.87,0.415,8623.65,0.1886,18,22,18,25-34,Male,Middle Income (30k-80k),Freelancer / Creator,0.3518,1
26971.47,0.6428,0.4673,1,57,345.26,0.3214,0.799,0.4641,0.4813,0.5164,19.83,0.4873,2451.3,0.0909,15,20,13,<25,Male,Low Income (<30k),Gig Worker / Delivery,0.5883,0
26539.29,0.5696,0.5749,1,56,456.41,0.5184,0.8007,0.5907,0.5745,0.5722,19.14,0.5791,5989.87,0.2257,21,30,20,25-34,Female,Low Income (<30k),Salaried Entry-level,0.7142,0
49559.15,0.2322,0.8604,3,68,473.97,0.4211,0.9123,0.3888,0.4135,0.3671,24.05,0.3898,11632.52,0.2347,14,19,12,35-49,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.871,1
59190.49,0.313,0.655,1,60,585.15,0.3805,0.7852,0.339,0.4012,0.3831,22.57,0.3744,13303.13,0.2248,15,25,14,35-49,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.4806,0
48571.89,0.3254,0.8442,1,43,314.56,0.3842,0.6755,0.5478,0.6131,0.5246,23.13,0.5618,17479.21,0.3599,3,14,1,<25,Female,Middle Income (30k-80k),Freelancer / Creator,0.7915,1
24133.43,0.3966,0.5742,2,52,284.59,0.804,0.3976,0.6197,0.5789,0.544,29.14,0.5809,4363.19,0.1808,12,17,12,25-34,Female,Low Income (<30k),Gig Worker / Delivery,0.6203,0
72427.16,0.5348,0.6088,2,74,404.06,0.4479,0.8712,0.601,0.5894,0.6768,16.01,0.6224,14703.79,0.203,34,36,33,<25,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.9013,1
40958.01,0.1275,0.9252,2,58,261.07,0.7331,0.7043,0.7985,0.865,0.8055,8.34,0.823,13338.09,0.3257,11,16,7,25-34,Female,Middle Income (30k-80k),Salaried Entry-level,0.9868,1
157150.84,0.5171,0.5541,1,86,913.33,0.6448,0.464,0.4591,0.4137,0.4854,30.28,0.4527,39013.59,0.2483,30,42,30,35-49,Female,Upper Middle (>80k),Freelancer / Creator,0.5444,1
58870.05,0.4086,0.644,1,59,381.6,0.6724,0.9547,0.7072,0.6753,0.7615,11.03,0.7147,13150.2,0.2234,8,22,8,<25,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.9089,1
15347.75,0.1505,0.8172,1,49,150.0,0.7468,0.901,0.6343,0.6461,0.6443,14.74,0.6416,3088.3,0.2012,9,20,7,25-34,Male,Low Income (<30k),Salaried Entry-level,0.9508,1
